BaseID,Name,combat_type,alignment,role,categories,ability_classes,image,ship,era,unit_relic_all,unit_relic_guilds_100,unit_relic_kyber_1000
APPO,"CC-1119 ""Appo""",1,Dark Side,Attacker,Clone Trooper|Empire|Order 66 Raid,Remove Turn Meter|Gain Turn Meter|Critical Damage Up|Counter|Foresight|Deathmark|Dispel|+Speed|Defense Penetration Up|Revive|Advantage|Summon|AoE|Assist|Expose|Disarm|Damage Over Time|Stun|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_appo.png,,Revenge of the Sith,5,9,9
ARCTROOPER501ST,ARC Trooper,1,Light Side,Attacker,501st|Clone Trooper|Galactic Republic,Counter|Summon|Assist|Dispel|Revive,https://game-assets.swgoh.gg/textures/tex.charui_trooperclone_arc.png,,Legacy,8,8,8
ARMORER,The Armorer,1,Light Side,Support,Leader|Mandalorian,Counter|Critical Hit Immunity|Protection Up|Assist|Dispel|Armor Shred,https://game-assets.swgoh.gg/textures/tex.charui_armorer.png,,Legacy,5,6,7
ASAJJDARKDISCIPLE,Asajj Ventress (Dark Disciple),1,Dark Side,Attacker,Leader|Bounty Hunter|Nightsister|Unaligned Force User,Bonus Turn|Vulnerable|Critical Chance Up|Gain Turn Meter|Damage Immunity|+Defense|Counter|Momentum|Dispel|Potency Up|Defense Penetration Up|Armor Shred|Retribution|Revive|Protection Disruption|AoE|Assist|Daze|Ability Block|Tenacity Down|Bonus Attack|Stun|Evasion Down|Retaliate|+Critical|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_asajjdarkdisciple.png,,Anniversary,6,7,8
ASAJVENTRESS,Asajj Ventress,1,Dark Side,Support,Leader|Nightsister|Separatist|Unaligned Force User,Counter|AoE|Healing Immunity|Defense Down|Remove Turn Meter|Reset Cooldown|Dispel|Stun|+Speed|Gain Turn Meter,https://game-assets.swgoh.gg/textures/tex.charui_ventress.png,,Legacy,5,6,7
AURRA_SING,Aurra Sing,1,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,Bonus Turn|Counter|Reset Cooldown|Critical Chance Up|Stun|Gain Turn Meter|Offense Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_aurrasing.png,,Legacy,6,6,6
B1BATTLEDROIDV2,B1 Battle Droid,1,Dark Side,Attacker,Droid|Separatist,Damage Over Time|AoE|Assist|Target Lock|Dispel|Gain Turn Meter|Revive,https://game-assets.swgoh.gg/textures/tex.charui_b1.png,,Legacy,5,5,6
B2SUPERBATTLEDROID,B2 Super Battle Droid,1,Dark Side,Tank,Droid|Separatist,Reduce Cooldowns|AoE|Critical Damage Down|Target Lock|Dispel|Gain Turn Meter|Dispel - All Enemies|Buff Immunity,https://game-assets.swgoh.gg/textures/tex.charui_b2.png,,Legacy,4,6,7
BADBATCHECHO,Echo,1,Light Side,Support,Bad Batch|Clone Trooper|Galactic Republic,Reduce Cooldowns|Defense Up|AoE|Assist|Expose|Healing Immunity|Dispel|Daze|Gain Turn Meter|Buff Immunity|Evasion Up,https://game-assets.swgoh.gg/textures/tex.charui_bb_echo.png,,Legacy,5,6,7
BADBATCHHUNTER,Hunter,1,Light Side,Attacker,Leader|Bad Batch|Clone Trooper|Galactic Republic,Counter|+Max Health|Bonus Attack|Defense Up|AoE|Expose|Remove Turn Meter|Target Lock|+Evasion|Taunt|Critical Chance Up|Stun|Gain Turn Meter|Evasion Up|Offense Up|Stealth|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_bb_hunter.png,MARAUDER,Legacy,5,5,6
BADBATCHOMEGA,Omega,1,Light Side,Attacker,Bad Batch|Clone Trooper,Counter|Defense Up|Expose|Blind|Assist|Protection Up|Remove Turn Meter|Dispel|Critical Chance Up|Target Lock|+Speed|Daze|Defense Penetration Up|Gain Turn Meter|Taunt|Evasion Up|Stealth|Protection Over Time,https://game-assets.swgoh.gg/textures/tex.charui_badbatchomega.png,,Legacy,5,5,6
BADBATCHTECH,Tech,1,Light Side,Support,Bad Batch|Clone Trooper|Galactic Republic,Reduce Cooldowns|Bonus Attack|Foresight|Tenacity Up|AoE|Reset Cooldown|Target Lock|Dispel|Potency Up|+Speed|Daze|Stun|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_bb_tech.png,MARAUDER,Legacy,5,5,6
BADBATCHWRECKER,Wrecker,1,Light Side,Tank,Bad Batch|Clone Trooper|Galactic Republic,Tenacity Up|Bonus Attack|Defense Up|AoE|Target Lock|Taunt|Dispel|Speed Down|Stun|Gain Turn Meter|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_bb_wrecker.png,MARAUDER,Legacy,5,5,6
BARRISSOFFEE,Barriss Offee,1,Light Side,Healer,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,+Max Health|Defense Up|Heal|Healing Immunity|Remove Turn Meter|Dispel|Gain Turn Meter|Healing,https://game-assets.swgoh.gg/textures/tex.charui_barriss_light.png,,Legacy,5,7,8
BASTILASHAN,Bastila Shan,1,Light Side,Support,Leader|Jedi|Old Republic,Counter|Protection Up|Assist|Taunt|Dispel|Critical Chance Up|Stun|Gain Turn Meter|+Tenacity|Ability Block|Buff Immunity|Retribution|Accuracy Up|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_bastilashan.png,,Legacy,6,7,7
BASTILASHANDARK,Bastila Shan (Fallen),1,Dark Side,Support,Sith|Sith Empire,Counter|Reduce Cooldowns|Fear|Foresight|Offense Down|AoE|Expose|Critical Damage Down|Stagger|Deathmark|Dispel|Shock|Evasion Down|Gain Turn Meter|Speed Down|Ability Block|Marked|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_bastilashan_dark.png,,Legacy,5,7,7
BATCHERS3,Batcher,1,Light Side,Attacker,Bad Batch|Order 66 Raid,Counter|Offense Down|AoE|Assist|Defense Down|Taunt|Dispel|+Speed|Ability Block|Marked|Off Balance|Speed Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_batcher.png,,the Cavalry,5,7,7
BAYLANSKOLL,Baylan Skoll,1,Dark Side,Tank,Leader|Mercenary|Unaligned Force User,Bonus Turn|Defense Down|Soldier of Fortune|Gain Turn Meter|+Tenacity|+Defense|Health Steal Up|Counter|Foresight|Blind|Stagger|Taunt|Dispel|Potency Up|+Speed|Armor Shred|Doubt|Buff Immunity|Retribution|Revive|Anti-Revive|Reduce Cooldowns|Offense Down|AoE|Assist|Expose|Healing Immunity|+Evasion|Daze|Purge|Instant Defeat|Tenacity Up|Fear|Protection Up|Stun|Ransom|Speed Up|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_baylanskoll.png,,Legacy,7,8,9
BAZEMALBUS,Baze Malbus,1,Light Side,Tank,Rebel|Rebel Fighter|Rogue One,Counter|AoE|Assist|Taunt|Dispel|Speed Down|Gain Turn Meter|Retribution,https://game-assets.swgoh.gg/textures/tex.charui_bazemalbus.png,,Legacy,5,6,7
BB8,BB-8,1,Light Side,Support,Droid|Resistance,Counter|Foresight|AoE|Assist|Expose|Offense Up|Dispel|Critical Chance Up|Taunt|Daze|Gain Turn Meter|Speed Up|Critical Damage Up|Advantage|Tenacity Down,https://game-assets.swgoh.gg/textures/tex.charui_bb8.png,,Legacy,7,7,7
BENSOLO,Ben Solo,1,Light Side,Attacker,Unaligned Force User,Counter|Offense Down|AoE|Blind|Defense Down|Healing Immunity|Remove Turn Meter|Dispel|Potency Down|Speed Down|+Speed|Armor Shred|Gain Turn Meter|Taunt|Instant Defeat Immunity|Offense Up|Revive,https://game-assets.swgoh.gg/textures/tex.charui_bensolo.png,,Conquest,7,8,9
BIGGSDARKLIGHTER,Biggs Darklighter,1,Light Side,Support,Rebel|Rebel Fighter,Assist|Critical Chance Up|Gain Turn Meter|Evasion Up|Critical Damage Up,https://game-assets.swgoh.gg/textures/tex.charui_rebelpilot_biggs.png,XWINGRED3,Legacy,3,5,5
BISHOP,Colonel Ward,1,Light Side,Support,New Republic,Counter|Burning|AoE|Assist|Defense Down|Critical Damage Down|Expose|Dispel|Healing Immunity|Taunt|Evasion Down|Retaliate|Ability Block|Marked|Critical Damage Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_colonelward.png,,New Republic,4,4,5
BISTAN,Bistan,1,Light Side,Attacker,Rebel|Rebel Fighter|Rogue One,Remove Turn Meter|Damage Over Time|Frenzy|Gain Turn Meter,https://game-assets.swgoh.gg/textures/tex.charui_bistan.png,UWINGSCARIF,Legacy,5,5,5
BOBAFETT,Boba Fett,1,Dark Side,Attacker,Leader|Bounty Hunter|Hutt Cartel|Scoundrel,Bonus Turn|+Max Health|Counter|Bonus Attack|Damage Over Time|Reduce Cooldowns|AoE|Healing Immunity|Thermal Detonator|Taunt|Dispel|+Speed|Gain Turn Meter|+Tenacity|Ability Block|+Critical|Revive|Anti-Revive,https://game-assets.swgoh.gg/textures/tex.charui_bobafett.png,SLAVE1,Legacy,8,8,8
BOBAFETTSCION,"Boba Fett, Scion of Jango",1,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,Gain Turn Meter|+Tenacity|Counter|Momentum|Taunt|Dispel|+Speed|Armor Shred|Protection Disruption|AoE|Potency Down|Ability Block|Tenacity Down|+Max Health|Damage Over Time|Tenacity Up|Protection Up|Stun|Breach,https://game-assets.swgoh.gg/textures/tex.charui_bobafettold.png,,Conquest,6,7,8
BODHIROOK,Bodhi Rook,1,Light Side,Support,Rebel|Rebel Fighter|Rogue One,AoE|Assist|Remove Turn Meter|Potency Up|Evasion Down|Gain Turn Meter|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_bodhi.png,ROGUEONESHIP,Legacy,5,5,5
BOKATAN,Bo-Katan Kryze,1,Light Side,Attacker,Leader|Mandalorian|Scoundrel,Counter|Tenacity Up|Vulnerable|Defense Up|AoE|Assist|Taunt|Dispel|Daze|+Tenacity|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_bokatan.png,,Legacy,5,7,7
BOOMADIER,Gungan Boomadier,1,Light Side,Attacker,Gungan,Defense Down|Remove Turn Meter|Frenzy|Gain Turn Meter|Counter|Dispel|Retribution|Accuracy Up|Revive|Anti-Revive|Protection Disruption|Offense Down|AoE|Healing Immunity|Target Lock|Shock|Ability Block|Speed Down|Speed Up,https://game-assets.swgoh.gg/textures/tex.charui_gunganboomadier.png,,Legacy,5,8,8
BOSSK,Bossk,1,Dark Side,Tank,Leader|Bounty Hunter|Scoundrel,Reduce Cooldowns|Assist|Taunt|Dispel|Frenzy|Stun|+Speed|+Tenacity|Offense Up|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_bossk.png,HOUNDSTOOTH,Legacy,5,8,8
BOSSNASS,Boss Nass,1,Light Side,Support,Leader|Gungan,Bonus Turn|Vulnerable|Defense Down|Remove Turn Meter|Gain Turn Meter|Critical Damage Up|Protection Over Time|Counter|Taunt|Dispel|+Speed|Retribution|Revive|Offense Down|AoE|Assist|Expose|Healing Immunity|Daze|Damage Over Time|Speed Down|Stun|Speed Up,https://game-assets.swgoh.gg/textures/tex.charui_bossnass.png,,Legacy,5,7,8
BOUSHH,Boushh (Leia Organa),1,Light Side,Attacker,Leader|Bounty Hunter|Hutt Cartel|Scoundrel,Counter|+Max Health|Bonus Attack|Fear|AoE|Assist|Defense Down|Reset Cooldown|Dispel|Stun|+Speed|Gain Turn Meter|+Tenacity|Ability Block|Thermal Detonator|Revive|Anti-Revive,https://game-assets.swgoh.gg/textures/tex.charui_boushh.png,,Legacy,5,8,9
BRUTUS,Brutus,1,Dark Side,Attacker,Pirate|Scoundrel|Order 66 Raid,Bonus Turn|Critical Chance Down|Gain Turn Meter|Counter|Dispel|Potency Up|+Speed|Defense Penetration Up|Profit|Retribution|Advantage|Reduce Cooldowns|AoE|Assist|Accuracy Down|Fear|Reset Cooldown|Breach|Speed Up|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_brutus.png,,Piracy,7,9,9
BT1,BT-1,1,Dark Side,Attacker,Droid|Scoundrel,Bonus Turn|Burning|Damage Over Time|AoE|Assist|Expose|Target Lock|+Speed|Gain Turn Meter|Ability Block,https://game-assets.swgoh.gg/textures/tex.charui_bt1.png,,Legacy,5,7,8
C3POCHEWBACCA,Threepio & Chewie,1,Light Side,Attacker,Droid|Rebel|Wookiee,Counter|AoE|Blind|Assist|Dispel|Evasion Down|Revive|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_chewbacca_c3po.png,,Legacy,7,7,7
C3POLEGENDARY,C-3PO,1,Light Side,Support,Droid|Galactic Republic|New Republic|Rebel|Resistance,Bonus Turn|Counter|Reduce Cooldowns|Offense Down|Expose|Assist|Defense Down|Protection Up|Reset Cooldown|Potency Up|+Speed|Gain Turn Meter|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_c3p0.png,,Legacy,7,7,7
CADBANE,Cad Bane,1,Dark Side,Support,Leader|Bounty Hunter|Hutt Cartel|Mercenary|Scoundrel,Reduce Cooldowns|Bonus Attack|AoE|Remove Turn Meter|Dispel|Stun|Gain Turn Meter|+Tenacity|Thermal Detonator|Advantage|Accuracy Down,https://game-assets.swgoh.gg/textures/tex.charui_cadbane.png,XANADUBLOOD,Legacy,5,7,7
CALKESTIS,Cal Kestis,1,Light Side,Support,Unaligned Force User,Critical Chance Down|Defense Down|Gain Turn Meter|Critical Damage Up|Health Steal Up|Counter|Critical Hit Immunity|Foresight|Defense Up|Dispel|Buff Immunity|Accuracy Up|AoE|Daze|Ability Block|Tenacity Down|Bonus Attack|Protection Up|Reset Cooldown|Speed Down|Evasion Down|Stun|Speed Up,https://game-assets.swgoh.gg/textures/tex.charui_calkestis.png,,Legacy,5,7,8
CANDEROUSORDO,Canderous Ordo,1,Dark Side,Attacker,Mandalorian|Mercenary|Old Republic|Scoundrel,Damage Over Time|Bonus Attack|Offense Down|AoE|Taunt|Deathmark|Critical Chance Up|Gain Turn Meter|Marked|Critical Damage Up|Tenacity Down,https://game-assets.swgoh.gg/textures/tex.charui_canderous.png,,Legacy,5,6,7
CAPTAINDROGAN,Captain Drogan,1,Light Side,Attacker,New Republic|Rebel|Rebel Fighter,Counter|Burning|Offense Down|Protection Up|Assist|Remove Turn Meter|Dispel|Stun|Gain Turn Meter|Ability Block,https://game-assets.swgoh.gg/textures/tex.charui_captaindrogan.png,BWINGREBEL,Legacy,7,9,9
CAPTAINENOCH,Captain Enoch,1,Dark Side,Support,Leader|Imperial Remnant,Counter|+Max Health|Critical Avoidance Up|AoE|Assist|Healing Immunity|Protection Up|Remove Turn Meter|Dispel|Taunt|+Speed|Gain Turn Meter|+Tenacity|Blight|Critical Damage Up|Advantage|Decay,https://game-assets.swgoh.gg/textures/tex.charui_captainenoch.png,,Legacy,7,9,9
CAPTAINREX,Captain Rex,1,Light Side,Support,Clone Trooper|Phoenix|Rebel|Rebel Fighter,Counter|Damage Over Time|Tenacity Up|Offense Down|AoE|Assist|Heal|Reset Cooldown|Dispel|Critical Chance Up|Stun|+Speed|Armor Shred|Daze|Gain Turn Meter|Ability Block|Offense Up|Tenacity Down,https://game-assets.swgoh.gg/textures/tex.charui_captainrex.png,,Legacy,7,7,7
CAPTAINSILVO,Captain Silvo,1,Dark Side,Support,Leader|Pirate|Scoundrel|Unaligned Force User|Order 66 Raid,Remove Turn Meter|Frenzy|Gain Turn Meter|Evasion Up|Health Steal Down|+Defense|Protection Over Time|Health Steal Up|Counter|Heal Over Time|Stagger|+Speed|Profit|Revive|AoE|Assist|Expose|+Evasion|Alert|Shield Up|Protection Up|Reset Cooldown|Evasion Down|Speed Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_captainsilvo.png,,Piracy,7,8,8
CAPTAINTARPALS,Captain Tarpals,1,Light Side,Attacker,Gungan,Bonus Turn|Remove Turn Meter|Gain Turn Meter|Critical Damage Up|Counter|Defense Up|Stagger|Taunt|Dispel|Marked|Buff Immunity|Advantage|AoE|Assist|Shock|Daze|Reset Cooldown|Stun|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_captaintarpals.png,,Legacy,5,8,8
CARADUNE,Cara Dune,1,Light Side,Tank,Constable|Mercenary|New Republic|Rebel|Rebel Fighter|Scoundrel,Critical Hit Immunity|AoE|Remove Turn Meter|Taunt|Potency Up|Stun|Gain Turn Meter|Revive|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_caradune.png,,Legacy,5,6,7
CARSONTEVA,Captain Carson Teva,1,Light Side,Attacker,Leader|Constable|New Republic|Rebel,Critical Chance Down|Defense Down|Damage Immunity|+Defense|Counter|Foresight|Deathmark|Dispel|+Speed|Defense Penetration Up|Retribution|Advantage|Offense Down|AoE|Assist|Expose|Healing Immunity|Potency Down|Daze|Accuracy Down|+Max Health|Bonus Attack|Reset Cooldown|Speed Down,https://game-assets.swgoh.gg/textures/tex.charui_carsonteva.png,,New Republic,4,4,6
CARTHONASI,Carth Onasi,1,Light Side,Attacker,Leader|Old Republic,Counter|+Max Health|Damage Over Time|AoE|Assist|Reset Cooldown|Gain Turn Meter|+Tenacity|Offense Up|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_carth.png,EBONHAWK,Legacy,5,5,6
CASSIANANDOR,Cassian Andor,1,Light Side,Support,Rebel|Rebel Fighter|Rogue One,Bonus Turn|Counter|Tenacity Up|Offense Down|Defense Up|Expose|Assist|Defense Down|Healing Immunity|Protection Up|Potency Up|Speed Down|Gain Turn Meter|Ability Block|Buff Immunity,https://game-assets.swgoh.gg/textures/tex.charui_cassian.png,UWINGROGUEONE,Legacy,8,8,8
CASSIANUNDERCOVER,Cassian Andor (Undercover),1,Light Side,Support,Leader|Rebel|Rebel Fighter,Vulnerable|Remove Turn Meter|Gain Turn Meter|+Tenacity|Damage Immunity|+Defense|Counter|Critical Hit Immunity|Blind|Dispel|+Speed|Instant Defeat Immunity|AoE|Assist|Healing Immunity|+Max Health|Fear|Reset Cooldown|Speed Down|Undermine,https://game-assets.swgoh.gg/textures/tex.charui_cassianundercover.png,,Andor,2,4,4
CC2224,"CC-2224 ""Cody""",1,Light Side,Attacker,Leader|Clone Trooper|Galactic Republic,Assist|Stun|Gain Turn Meter|+Critical|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_trooperclone_cody.png,,Legacy,5,5,5
CEREJUNDA,Cere Junda,1,Light Side,Support,Leader|Scoundrel|Unaligned Force User,Counter|+Max Health|Tenacity Up|Foresight|Defense Up|Protection Up|Dispel|Defense Penetration Up|Daze|Gain Turn Meter|+Tenacity|Ability Block|+Critical|Accuracy Up|Advantage|Damage Immunity|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_cerejunda.png,,Legacy,7,7,7
CHEWBACCALEGENDARY,Chewbacca,1,Light Side,Attacker,Rebel|Scoundrel|Smuggler|Wookiee,AoE|Assist|Reset Cooldown|Dispel|Critical Chance Up|Stun|Daze|Ability Block|Offense Up|Tenacity Down,https://game-assets.swgoh.gg/textures/tex.charui_chewbacca_ot.png,MILLENNIUMFALCON,Legacy,6,7,8
CHIEFCHIRPA,Chief Chirpa,1,Light Side,Support,Leader|Ewok,Counter|Heal|Assist|+Speed|Gain Turn Meter|Speed Up|Retribution|Heal Over Time,https://game-assets.swgoh.gg/textures/tex.charui_ewok_chirpa.png,,Legacy,3,5,5
CHIEFNEBIT,Chief Nebit,1,Light Side,Tank,Leader|Jawa,Critical Chance Down|Thermal Detonator|Protection Up|Assist|Taunt|Dispel|Gain Turn Meter|+Critical|Stealth|Heal Over Time,https://game-assets.swgoh.gg/textures/tex.charui_jawa_nebit.png,,Legacy,3,6,7
CHIRRUTIMWE,Chirrut Îmwe,1,Light Side,Attacker,Rebel|Rebel Fighter|Rogue One,Counter|Tenacity Up|Assist|Dispel|Heal Over Time,https://game-assets.swgoh.gg/textures/tex.charui_chirrut.png,,Legacy,5,6,7
CHOPPERS3,Chopper,1,Light Side,Support,Droid|New Republic|Phoenix|Rebel|Spectre,Reduce Cooldowns|Defense Up|AoE|Assist|Protection Up|Taunt|Dispel|Stun|Speed Up|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_chopper.png,PHANTOM2,Legacy,3,6,6
CINTA,Cinta Kaz,1,Light Side,Attacker,Rebel|Rebel Fighter,AoE|Assist|Defense Down|Expose|Healing Immunity|Deathmark|Dispel|Resilient Defense|Breach|+Speed|Gain Turn Meter|Undermine|Ability Block|Marked|Speed Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_cinta.png,,Andor,2,6,7
CLONESERGEANTPHASEI,Clone Sergeant - Phase I,1,Light Side,Attacker,Clone Trooper|Galactic Republic,Remove Turn Meter|Offense Up|AoE|Gain Turn Meter,https://game-assets.swgoh.gg/textures/tex.charui_trooperclonegreen.png,ARC170CLONESERGEANT,Legacy,5,5,5
CLONEWARSCHEWBACCA,Clone Wars Chewbacca,1,Light Side,Tank,Leader|Galactic Republic|Scoundrel|Wookiee,Health Up|Defense Up|Remove Turn Meter|Taunt|Dispel|Gain Turn Meter|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_chewbacca.png,,Legacy,9,9,9
COBBVANTH,Cobb Vanth,1,Light Side,Attacker,Leader|Constable,Bonus Turn|Vulnerable|Defense Down|Remove Turn Meter|Gain Turn Meter|+Defense|Counter|Momentum|Defense Up|Taunt|Dispel|+Speed|Defense Penetration Up|Buff Immunity|Thermal Detonator|Retribution|Revive|Offense Down|AoE|Assist|Expose|Ability Block|Instant Defeat|Alert|+Max Health|Burning|Damage Over Time|Tenacity Up|Protection Up|Reset Cooldown|Stun|Speed Up|Offense Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_cobbvanth.png,,Conquest,7,7,8
COLONELSTARCK,Colonel Starck,1,Dark Side,Support,Empire|Imperial Trooper,AoE|Defense Down|Remove Turn Meter|Stagger|Dispel|Critical Chance Up|Gain Turn Meter|Critical Damage Up,https://game-assets.swgoh.gg/textures/tex.charui_colonel_stark.png,,Legacy,3,5,5
COMMANDERAHSOKA,Commander Ahsoka Tano,1,Light Side,Attacker,Galactic Republic|Scoundrel|Unaligned Force User,Counter|Assist|Dispel|Armor Shred|Gain Turn Meter|Instant Defeat|Evasion Up|Critical Damage Up|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_commanderahsokatano.png,,Conquest,9,9,9
COMMANDERLUKESKYWALKER,Commander Luke Skywalker,1,Light Side,Attacker,Leader|Rebel|Unaligned Force User,Counter|Defense Down|Remove Turn Meter|Taunt|Dispel|Speed Down|Stun|Gain Turn Meter|Buff Immunity|Tenacity Down|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_lukebespin.png,,Legacy,7,7,7
CORUSCANTUNDERWORLDPOLICE,Coruscant Underworld Police,1,Light Side,Support,Constable|Galactic Republic,Offense Down|Stun|AoE|Gain Turn Meter,https://game-assets.swgoh.gg/textures/tex.charui_coruscantpolice.png,,Legacy,9,9,9
COUNTDOOKU,Count Dooku,1,Dark Side,Attacker,Leader|Separatist|Sith,Counter|Bonus Attack|Critical Hit Immunity|Healing Immunity|Dispel|Shock|Stun|Daze|Gain Turn Meter|+Tenacity|Ability Block|Riposte|Tenacity Down|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_dooku.png,,Legacy,8,8,8
CROSSHAIRS3,Crosshair (Scarred),1,Light Side,Attacker,Bad Batch|Order 66 Raid,Bonus Turn|Counter|Expose|Assist|Defense Down|Remove Turn Meter|Dispel|Stun|Armor Shred|Gain Turn Meter|Marked,https://game-assets.swgoh.gg/textures/tex.charui_crosshair_scarred.png,,the Cavalry,5,7,7
CT210408,"CT-21-0408 ""Echo""",1,Light Side,Support,501st|Clone Trooper|Galactic Republic,AoE|Assist|Taunt|Dispel|Stun|Critical Damage Up,https://game-assets.swgoh.gg/textures/tex.charui_trooperclone_echo.png,,Legacy,7,7,7
