source,BaseID,Name,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,updated
all,BT1,BT-1,15196,1743,6088,693,82198,16809,22250,4572,805,72,2026-08-01T06:37:32.274674+00:00
all,C3POLEGENDARY,C-3PO,2283,3072,22966,9494,54346,7481,160403,4511,1293,10,2026-07-31T11:00:34.949375+00:00
all,CADBANE,Cad Bane,3365,3083,5213,2359,198869,10514,29775,5855,1039,73,2026-07-31T21:01:00.845792+00:00
all,CALKESTIS,Cal Kestis,17317,9815,24569,7719,50221,20063,41641,3747,900,84,2026-08-01T05:37:41.261847+00:00
all,CANDEROUSORDO,Canderous Ordo,10360,8198,44400,6029,66404,6042,4846,10753,78,5,2026-07-31T11:30:08.178825+00:00
all,CARSONTEVA,Captain Carson Teva,1765,2356,870,5252,2316,493,755,358,516,8,2026-08-01T00:30:07.461088+00:00
all,CAPTAINDROGAN,Captain Drogan,5389,2409,2869,1256,14694,5217,137561,22060,9950,1059,2026-08-01T05:07:31.164629+00:00
all,CAPTAINENOCH,Captain Enoch,3999,2211,4611,1725,38075,12829,90223,2841,10556,23,2026-08-01T03:37:43.253596+00:00
all,HOTHHAN,Captain Han Solo,1609,868,30317,9521,163913,43038,17029,2474,350,3,2026-07-31T16:00:28.963652+00:00
all,ITHANO,Captain Ithano,1932,2067,21442,6986,19977,5112,15742,3056,2213,44,2026-08-01T02:08:03.163309+00:00
all,PHASMA,Captain Phasma,1235,1274,12036,880,230509,11133,20905,588,97,7,2026-07-31T20:01:01.950476+00:00
all,CAPTAINREX,Captain Rex,28427,21596,24504,11131,24519,8439,170628,9705,1331,143,2026-08-01T05:08:06.225880+00:00
all,CAPTAINSILVO,Captain Silvo,1234,1851,1541,1880,1886,351,38957,7948,8450,109,2026-08-01T02:07:12.150837+00:00
all,CAPTAINTARPALS,Captain Tarpals,15982,1734,5027,639,72461,35415,33050,9985,1673,149,2026-08-01T04:08:14.520621+00:00
all,CARADUNE,Cara Dune,40930,14861,13319,3899,99299,6339,12327,632,171,17,2026-07-31T09:30:28.809377+00:00
all,CARTHONASI,Carth Onasi,5180,4776,22877,3738,105158,6905,15933,320,66,4,2026-07-31T11:00:51.950052+00:00
all,CASSIANANDOR,Cassian Andor,3672,1917,1744,807,15137,2241,10013,115304,1810,13,2026-07-31T17:30:08.557755+00:00
all,CASSIANUNDERCOVER,Cassian Andor (Undercover),14317,40720,2416,17423,2286,1302,779,342,723,1226,2026-08-01T00:30:34.560600+00:00
all,APPO,"CC-1119 ""Appo""",1410,1560,2553,1937,69392,13906,35485,9368,15749,349,2026-08-01T02:37:46.669720+00:00
all,CC2224,"CC-2224 ""Cody""",1414,1568,1868,1212,174455,5501,3327,298,61,9,2026-07-31T18:01:30.955629+00:00
all,CEREJUNDA,Cere Junda,13727,5443,12893,3622,29008,9864,72750,11142,1573,55,2026-08-01T05:37:30.329893+00:00
all,CHEWBACCALEGENDARY,Chewbacca,13792,6466,22143,10390,23496,151074,43070,8138,1824,48,2026-07-31T11:30:30.335286+00:00
all,CHIEFCHIRPA,Chief Chirpa,3372,4188,143594,8848,26602,4029,32945,1150,51,8,2026-07-31T18:30:55.774195+00:00
all,CHIEFNEBIT,Chief Nebit,3867,2525,43358,2467,11995,8134,16965,2223,394,32,2026-07-31T18:01:55.792605+00:00
all,CHIRRUTIMWE,Chirrut Îmwe,2571,1870,2815,1034,75150,11614,14302,495,827,5,2026-07-31T17:30:27.423368+00:00
all,CHOPPERS3,Chopper,65995,28974,122838,12324,36520,8897,3173,2312,596,11,2026-07-31T17:01:12.124001+00:00
all,CINTA,Cinta Kaz,15034,33116,4461,10691,5637,10698,5272,861,1238,71,2026-08-01T01:01:05.077280+00:00
all,CLONESERGEANTPHASEI,Clone Sergeant - Phase I,937,850,21118,1195,166404,5625,11259,238,156,5,2026-07-31T23:00:41.088997+00:00
all,CLONEWARSCHEWBACCA,Clone Wars Chewbacca,4126,1437,3054,777,6583,3073,1672,141,47922,404,2026-07-31T20:00:44.795143+00:00
all,COBBVANTH,Cobb Vanth,710,631,1022,1497,3143,4251,9990,4214,1495,300,2026-08-01T01:00:52.505769+00:00
all,COLONELSTARCK,Colonel Starck,1280,907,109863,6464,71674,6451,14199,922,432,3,2026-07-31T13:01:00.657700+00:00
all,BISHOP,Colonel Ward,1334,1800,698,4792,2064,398,634,235,424,1,2026-08-01T00:30:15.641178+00:00
all,COMMANDERAHSOKA,Commander Ahsoka Tano,1973,1876,4970,3070,24748,8626,24822,7887,97606,817,2026-07-31T08:01:19.263290+00:00
all,COMMANDERLUKESKYWALKER,Commander Luke Skywalker,13882,9696,23670,16770,45445,19106,185819,8036,3282,396,2026-07-31T16:00:46.875972+00:00
all,CORUSCANTUNDERWORLDPOLICE,Coruscant Underworld Police,547,368,754,335,4699,5088,1666,1017,61037,8838,2026-07-31T20:30:28.907846+00:00
all,COUNTDOOKU,Count Dooku,14327,5378,10116,4499,18385,49465,26236,151639,1015,60,2026-07-31T21:00:08.660821+00:00
all,CROSSHAIRS3,Crosshair (Scarred),17167,3741,14851,3349,33259,10148,7936,2027,840,46,2026-08-01T02:37:48.552005+00:00
all,CT210408,"CT-21-0408 ""Echo""",3424,4419,9836,5116,24447,4798,148419,16183,173,11,2026-07-31T18:30:08.765531+00:00
all,CT5555,"CT-5555 ""Fives""",7801,8114,29315,12070,58655,13706,84201,18149,1620,102,2026-07-31T23:00:56.004491+00:00
all,CT7567,"CT-7567 ""Rex""",5610,6805,15061,8754,40280,9120,125450,16166,915,58,2026-07-31T19:01:05.897813+00:00
all,OPERATIVE,CX-2,989,1028,1813,1279,59257,18307,39166,9469,14348,169,2026-08-01T02:37:35.254467+00:00
all,DARKTROOPER,Dark Trooper,46094,11618,21655,5982,53710,6199,39178,3817,267,26,2026-07-31T08:31:32.048195+00:00
all,MOFFGIDEONS3,Dark Trooper Moff Gideon,5287,4586,9033,5916,20060,12441,17654,9003,2854,92,2026-08-01T05:07:09.277961+00:00
all,DARTHBANE,Darth Bane,1767,1664,3310,2941,13788,12467,47131,34605,25813,6123,2026-08-01T04:37:24.671217+00:00
all,DARTHJARJAR,Darth Jar Jar,0,0,0,0,0,0,0,0,0,0,2026-08-01T00:00:13.099230+00:00
all,DARTHMALAK,Darth Malak,3508,4313,12592,9925,33500,10968,27948,5264,103080,461,2026-07-31T10:31:06.728499+00:00
all,DARTHMALGUS,Darth Malgus,2176,2215,5641,4033,35347,11351,53971,18028,13920,876,2026-08-01T07:07:27.812217+00:00
all,MAUL,Darth Maul,2002,2362,2910,58638,27136,6763,125859,6000,835,53,2026-07-31T20:31:00.810257+00:00
all,DARTHNIHILUS,Darth Nihilus,8771,9069,27730,12926,100368,19643,18776,1925,541,69,2026-07-31T17:01:12.083660+00:00
all,DARTHREVAN,Darth Revan,4201,6281,17814,14332,46324,15911,34756,6949,79131,26909,2026-07-31T10:31:29.424694+00:00
all,DARTHSIDIOUS,Darth Sidious,1338,1489,2169,1253,8356,2818,193754,4744,1309,34,2026-07-31T20:30:28.996404+00:00
all,DARTHSION,Darth Sion,13246,8132,26358,10420,95282,14879,12170,1019,355,24,2026-07-31T13:00:09.939133+00:00
all,DARTHTALON,Darth Talon,1211,1201,2681,1117,194007,30957,14723,964,229,14,2026-08-01T07:37:45.249132+00:00
all,DARTHTRAYA,Darth Traya,8817,8911,25862,12941,91089,10748,23194,2185,840,70,2026-07-31T13:00:09.940021+00:00
all,VADER,Darth Vader,9001,7501,12576,9145,50600,28553,247143,27451,11352,4771,2026-07-31T23:30:45.246232+00:00
all,VADERDUELSEND,Darth Vader (Duel's End),5108,9314,5486,11602,11575,18617,15909,4841,2891,404,2026-08-01T01:01:29.119008+00:00
all,DASHRENDAR,Dash Rendar,1386,709,1366,530,103292,10013,121613,4815,1048,40,2026-07-31T08:00:10.577016+00:00
all,DATHCHA,Dathcha,2968,2365,47119,2052,8562,3205,14673,1761,39,5,2026-07-31T22:00:10.103708+00:00
all,DEATHTROOPER,Death Trooper,6939,4636,11195,3365,43468,9683,35803,2255,132,12,2026-07-31T17:01:46.859123+00:00
all,DEATHTROOPERPERIDEA,Death Trooper (Peridea),2578,1658,4049,1725,38352,12063,91356,2835,10577,21,2026-08-01T03:37:54.010031+00:00
all,DEDRAMEERO,Dedra Meero,16741,35292,7200,14933,7157,9621,3972,545,875,21,2026-08-01T01:00:54.735240+00:00
all,DENGAR,Dengar,23956,11212,6322,2962,169821,11122,19882,5171,1734,78,2026-07-31T18:30:08.790761+00:00
all,DEPABILLABA,Depa Billaba,583,652,746,542,66481,19129,23236,5090,13911,56,2026-08-01T02:08:16.975004+00:00
all,DIRECTORKRENNIC,Director Krennic,2166,1230,873,129380,55059,4849,16790,2110,164,16,2026-07-31T17:01:47.356358+00:00
all,DISGUISEDCLONETROOPER,Disguised Clone Trooper,886,987,1730,1129,68603,15853,34755,8329,13887,162,2026-08-01T02:37:33.435788+00:00
all,DOCTORAPHRA,Doctor Aphra,2301,2158,4390,2751,32773,5516,30597,6977,1159,202,2026-08-01T06:07:28.978329+00:00
all,DROIDEKA,Droideka,23716,13604,68648,35004,90940,17547,17433,711,101,12,2026-07-31T11:00:10.328408+00:00
all,BADBATCHECHO,Echo,10455,1732,4064,960,140518,20141,6299,2504,1091,7,2026-07-31T08:30:43.537303+00:00
all,EETHKOTH,Eeth Koth,2121,1418,1986,654,64993,1660,966,1256,972,4,2026-07-31T23:31:00.790994+00:00
all,EIGHTHBROTHER,Eighth Brother,30387,25878,14714,7015,103005,26330,103558,8093,2361,15,2026-08-01T07:07:47.993285+00:00
all,EMBO,Embo,3823,2323,3268,1607,101288,13944,46772,18480,1104,39,2026-07-31T12:00:09.849849+00:00
all,EMPERORPALPATINE,Emperor Palpatine,25349,16770,16750,10646,21244,7082,255473,8027,2451,197,2026-07-31T18:01:30.879591+00:00
all,ENFYSNEST,Enfys Nest,5393,4544,14163,6142,70743,12721,11285,1604,459,30,2026-07-31T12:30:29.527180+00:00
all,EWOKELDER,Ewok Elder,5041,5947,44444,5870,17512,3552,33571,507,47,7,2026-07-31T19:02:10.014712+00:00
all,EWOKSCOUT,Ewok Scout,2165,2052,2977,1657,7285,2410,3892,112,22453,17,2026-07-31T20:30:09.597949+00:00
all,EZRABRIDGERS3,Ezra Bridger,49741,53532,96322,25145,77693,72088,9180,2476,288,54,2026-07-31T16:31:06.785386+00:00
all,EZRAEXILE,Ezra Bridger (Exile),13948,2005,3333,3463,11321,4896,32598,14150,12703,4108,2026-08-01T03:37:38.971369+00:00
all,FENNECSHAND,Fennec Shand,22797,7095,3932,1495,17377,2183,153229,2480,324,8,2026-07-31T08:00:32.327022+00:00
all,FIFTHBROTHER,Fifth Brother,44443,70579,34760,16612,98865,24873,114354,10652,2732,36,2026-08-01T07:07:44.529087+00:00
all,FINN,Finn,2239,1460,17713,1050,170943,11309,24600,2391,250,8,2026-07-31T20:00:59.909919+00:00
all,FIRSTORDEREXECUTIONER,First Order Executioner,542,461,679,360,232762,17498,3286,244,744,4,2026-07-31T13:00:45.438805+00:00
all,FIRSTORDEROFFICERMALE,First Order Officer,441,282,339,171,215675,26911,9542,1052,617,6,2026-07-31T22:30:41.509173+00:00
all,FIRSTORDERSPECIALFORCESPILOT,First Order SF TIE Pilot,361,250,79358,5045,147251,14371,5398,425,866,5,2026-07-31T13:30:28.764064+00:00
all,FIRSTORDERTROOPER,First Order Stormtrooper,1082,556,17895,587,222007,14939,22919,2741,433,13,2026-07-31T22:00:45.858577+00:00
all,FIRSTORDERTIEPILOT,First Order TIE Pilot,551,411,88419,6738,140542,8774,14481,1637,498,4,2026-07-31T23:30:44.001306+00:00
all,GAMORREANGUARD,Gamorrean Guard,3121,478,92005,3832,76416,2986,1776,2351,307,14,2026-07-31T18:30:25.807917+00:00
all,GARSAXON,Gar Saxon,10666,3874,10318,2081,47934,5155,5173,10283,95,5,2026-07-31T16:30:27.581360+00:00
all,ZEBS3,"Garazeb ""Zeb"" Orrelios",9478,5123,104226,6193,35490,5798,3272,850,84,4,2026-07-31T16:30:49.276210+00:00
all,GRIEVOUS,General Grievous,31681,12447,24195,8686,27082,9530,182608,5932,1323,201,2026-07-31T19:01:05.824386+00:00
all,GENERALHUX,General Hux,1415,1430,12017,1095,168224,39243,43012,6219,1264,85,2026-07-31T10:00:36.515750+00:00
all,GENERALKENOBI,General Kenobi,2316,3777,18396,15493,35869,13823,21426,113272,69059,918,2026-07-31T17:30:56.813474+00:00
all,GENERALSKYWALKER,General Skywalker,1904,2110,4809,5088,15802,6029,17170,95084,72821,1724,2026-07-31T10:30:08.821694+00:00
all,GENERALSYNDULLA,General Syndulla,29205,1825,9808,702,66486,12456,29478,7223,3258,148,2026-08-01T03:07:43.283030+00:00
all,VEERS,General Veers,1542,1073,109244,8390,67944,9737,12130,3196,58,3,2026-07-31T21:30:40.756865+00:00
all,GEONOSIANBROODALPHA,Geonosian Brood Alpha,30792,14022,75448,28492,69833,17031,18187,2158,808,152,2026-07-31T10:30:31.933552+00:00
all,GEONOSIANSOLDIER,Geonosian Soldier,20445,12620,77016,15584,39600,8080,8857,687,558,9,2026-07-31T20:00:26.600490+00:00
all,GEONOSIANSPY,Geonosian Spy,25526,12784,78145,19431,45247,8592,12185,1111,293,21,2026-07-31T18:02:13.858523+00:00
all,GRANDADMIRALTHRAWN,Grand Admiral Thrawn,4366,4762,7879,5157,9451,82705,126365,2223,520,61,2026-07-31T16:01:01.056888+00:00
all,GRANDINQUISITOR,Grand Inquisitor,1229,1622,3546,3324,20711,6736,103851,18903,8817,311,2026-08-01T07:07:08.946931+00:00
all,GRANDMASTERYODA,Grand Master Yoda,27124,17664,22099,13151,30280,10025,13063,169512,5113,422,2026-07-31T22:00:29.004365+00:00
all,GRANDMOFFTARKIN,Grand Moff Tarkin,3144,3823,34851,8825,36967,7924,119858,21574,32319,1147,2026-07-31T21:30:56.620163+00:00
all,GREATMOTHERS,Great Mothers,3646,1979,5219,2347,32364,15516,114719,5042,1270,183,2026-08-01T03:37:29.250138+00:00
all,GREEDO,Greedo,2049,1868,2897,1578,18700,155331,5360,935,95,9,2026-07-31T23:30:08.636769+00:00
all,GREEFKARGA,Greef Karga,36260,15840,16484,6187,90202,8358,25840,503,90,8,2026-07-31T09:30:29.145323+00:00
all,GOPHERANTS,Grogu & Anzellans,1686,2420,911,5242,2532,507,742,311,439,2,2026-08-01T00:00:27.006241+00:00
all,BOOMADIER,Gungan Boomadier,13623,1522,4447,641,73803,35263,32553,9687,1465,53,2026-08-01T04:07:57.356833+00:00
all,GUNGANPHALANX,Gungan Phalanx,22180,1953,6874,765,70218,34553,35807,10528,1843,59,2026-08-01T04:07:46.214099+00:00
all,HANSOLO,Han Solo,3399,3426,9648,5042,10385,40068,12074,161407,1838,94,2026-07-31T19:30:49.045889+00:00
all,HERASYNDULLAS3,Hera Syndulla,49223,52555,82442,19128,121289,15610,26517,4580,254,64,2026-07-31T17:00:49.801561+00:00
all,HERMITYODA,Hermit Yoda,7359,3644,27369,5026,161065,29024,29676,9067,930,22,2026-07-31T16:00:29.240173+00:00
all,HK47,HK-47,14770,10362,45336,13154,35355,5894,106505,2542,396,12,2026-07-31T23:00:09.064229+00:00
all,HONDO,Hondo Ohnaka,2547,1594,4711,1998,44490,31104,24596,7745,63390,354,2026-08-01T06:37:32.374111+00:00
all,HOTHREBELSCOUT,Hoth Rebel Scout,3917,1590,7437,1172,15232,3143,6035,222,132,2,2026-07-31T22:30:09.452599+00:00
all,HOTHREBELSOLDIER,Hoth Rebel Soldier,4435,1290,2229,465,10080,3531,1958,1582,529,2,2026-07-31T20:00:09.349077+00:00
all,BADBATCHHUNTER,Hunter,14393,2565,6270,1405,148923,16725,7061,721,874,23,2026-07-31T08:31:11.984972+00:00
all,HUNTERS3,Hunter (Mercenary),18420,4132,15445,3227,31872,12767,8366,1723,769,8,2026-08-01T03:07:09.630580+00:00
all,HUYANG,Huyang,40909,4690,19135,2020,10962,3656,76388,8325,3681,165,2026-08-01T03:08:02.150419+00:00
all,IDENVERSIOEMPIRE,Iden Versio,15235,8370,18045,4803,60518,8488,11753,5472,1176,107,2026-08-01T07:37:26.023588+00:00
all,MAGNAGUARD,IG-100 MagnaGuard,11135,6250,28695,11342,187815,9481,16691,1387,892,9,2026-07-31T19:01:52.505344+00:00
all,IG11,IG-11,54239,25667,20198,6466,98811,3475,6673,370,46,1,2026-07-31T09:00:12.039212+00:00
all,IG12,IG-12 & Grogu,5120,2054,2700,919,24675,7585,129062,14018,5645,97,2026-08-01T04:37:39.901322+00:00
all,IG86SENTINELDROID,IG-86 Sentinel Droid,24024,2145,15436,743,11095,2185,487,94,82,2,2026-07-31T22:30:45.424118+00:00
all,IG88,IG-88,39179,30246,15953,7032,170775,9844,10897,3537,2101,5,2026-07-31T22:00:27.829016+00:00
all,IG90,IG-90,3800,6319,3846,5348,6225,23427,14042,1349,1652,29,2026-08-01T01:37:23.749894+00:00
all,IMAGUNDI,Ima-Gun Di,3011,1707,3005,836,40221,4089,670,130,562,3,2026-07-31T22:00:43.870314+00:00
all,IMPERIALPROBEDROID,Imperial Probe Droid,4103,3731,5169,4159,38373,7477,14649,414,376,9,2026-07-31T13:30:09.170234+00:00
all,IMPERIALSUPERCOMMANDO,Imperial Super Commando,5230,2706,7417,1708,50322,6040,2688,10285,207,5,2026-07-31T16:30:08.725332+00:00
all,INQUISITORBARRISS,Inquisitor Barriss,4793,8877,4495,7621,5960,20352,10747,2585,1367,29,2026-08-01T01:01:41.021686+00:00
all,JABBATHEHUTT,Jabba the Hutt,84,83,798,650,2947,2180,58391,47320,30061,5758,2026-08-01T06:39:13.568435+00:00
all,JANGOFETT,Jango Fett,21047,10054,13823,6198,40242,7149,169036,12143,924,61,2026-07-31T11:30:37.400684+00:00
all,JARJARBINKS,Jar Jar Binks,1165,1422,4337,3056,39598,19115,27036,6741,2752,89,2026-08-01T04:07:43.605001+00:00
all,JAWA,Jawa,824,623,134135,3662,14406,6382,15185,149,90,5,2026-07-31T21:30:09.007327+00:00
all,JAWAENGINEER,Jawa Engineer,2812,2201,44130,1882,16421,3802,15178,188,96,6,2026-07-31T18:30:40.003790+00:00
all,JAWASCAVENGER,Jawa Scavenger,2504,1965,44101,2181,10829,7353,16886,533,171,13,2026-07-31T18:01:55.791017+00:00
all,JAXXON,Jaxxon,0,0,0,0,0,0,0,0,0,0,2026-08-01T00:00:06.733787+00:00
all,JEDIKNIGHTCONSULAR,Jedi Consular,5812,3507,5834,1814,22276,4614,3204,1951,225,5,2026-07-31T21:00:08.629770+00:00
all,ANAKINKNIGHT,Jedi Knight Anakin,24010,19456,32302,13254,33570,13452,200127,9062,1452,265,2026-07-31T21:00:43.350389+00:00
all,JEDIKNIGHTCAL,Jedi Knight Cal Kestis,3616,3541,7661,4795,21782,6486,61100,23266,6979,379,2026-08-01T05:08:04.538256+00:00
all,JEDIKNIGHTGUARDIAN,Jedi Knight Guardian,9375,2244,7927,910,10353,2104,3318,208,31,3,2026-07-31T21:00:27.107651+00:00
all,JEDIKNIGHTLUKE,Jedi Knight Luke Skywalker,1053,1185,2361,1806,4138,1707,161633,31010,9799,411,2026-07-31T09:01:40.398414+00:00
all,JEDIKNIGHTREVAN,Jedi Knight Revan,3945,6899,26150,22940,87287,31989,71867,15612,5710,724,2026-07-31T11:30:16.182449+00:00
all,JEDIMASTERKENOBI,Jedi Master Kenobi,81,166,491,607,2314,1822,50475,55511,36153,13754,2026-07-31T08:01:13.598643+00:00
all,GRANDMASTERLUKE,Jedi Master Luke Skywalker,123,219,780,854,3590,2604,63695,48638,46720,13207,2026-07-31T09:00:59.100622+00:00
all,JEDIMASTERMACEWINDU,Jedi Master Mace Windu,527,547,1655,1530,13937,3847,26256,7294,17302,317,2026-08-01T02:37:07.089931+00:00
all,JOCASTANU,Jocasta Nu,1432,1285,3725,2213,17881,3604,23340,10566,7413,41,2026-08-01T03:07:09.656525+00:00
all,JOLEEBINDO,Jolee Bindo,9419,11271,54452,20425,72530,31718,24347,4272,1485,37,2026-07-31T12:00:50.019414+00:00
all,JUHANI,Juhani,9645,6840,51620,8132,48383,19001,15432,1787,615,16,2026-07-31T11:00:36.687742+00:00
all,JYNERSO,Jyn Erso,4332,2886,2683,1430,93174,15602,36759,2456,1573,26,2026-07-31T17:30:08.608418+00:00
all,K2SO,K-2SO,24363,6140,18678,4438,55100,5603,17056,437,1567,15,2026-07-31T17:30:25.794734+00:00
all,KANANJARRUSS3,Kanan Jarrus,14514,8599,98716,10864,46122,15857,5619,2933,314,15,2026-07-31T17:00:49.807023+00:00
all,KELLERANBEQ,Kelleran Beq,26944,17765,19092,9452,25598,10293,101985,44176,15176,643,2026-08-01T04:37:37.762850+00:00
all,KIADIMUNDI,Ki-Adi-Mundi,3172,2646,6008,2328,70218,6545,18714,6862,614,8,2026-07-31T10:01:01.429772+00:00
all,KITFISTO,Kit Fisto,2950,2297,5463,1500,90109,5195,6523,1538,241,10,2026-07-31T23:00:55.599701+00:00
all,KIX,Kix,1885,2050,2756,2448,3525,37573,17058,2456,1675,12,2026-08-01T02:07:43.454700+00:00
all,KLEYA,Kleya Marki,15735,33653,4967,11001,5988,12368,7036,1233,1304,124,2026-08-01T01:01:22.794997+00:00
all,KRRSANTAN,Krrsantan,12071,3146,4533,1106,98216,23215,40392,17827,8920,449,2026-08-01T06:41:11.555219+00:00
all,KUIIL,Kuiil,33227,9958,7577,1900,94438,8048,5918,258,38,4,2026-07-31T09:00:40.052007+00:00
all,KXSECURITYDROID,KX Security Droid,16153,34126,7019,18000,7998,7260,3013,675,913,102,2026-08-01T00:30:28.789108+00:00
all,KYLEKATARN,Kyle Katarn,5433,2620,2229,945,179518,25710,20619,3921,530,46,2026-08-01T07:37:58.479656+00:00
all,KYLOREN,Kylo Ren,2909,2298,28020,3586,34245,5062,225810,4132,1328,29,2026-07-31T22:00:10.152454+00:00
all,KYLORENUNMASKED,Kylo Ren (Unmasked),4327,3670,16469,4059,34978,6884,218414,14837,4593,390,2026-07-31T13:30:28.123063+00:00
all,L3_37,L3-37,15090,3280,9490,1882,89608,10302,18321,3102,420,8,2026-07-31T12:30:09.532234+00:00
all,ADMINISTRATORLANDO,Lando Calrissian,514,340,37822,4973,192375,13306,36670,327,494,4,2026-07-31T19:01:31.938159+00:00
all,LEIAJEDITRAINING,Leia (Jedi Training),0,0,0,0,0,0,0,0,0,0,2026-08-01T00:30:03.375472+00:00
all,GLLEIA,Leia Organa,126,121,674,674,2279,1792,35879,33272,41429,38754,2026-08-01T05:07:09.269402+00:00
