BaseID,Name,era
GEONOSIANSTARFIGHTER3,Geonosian Spy's Starfighter,Legacy
GHOST,Ghost,Legacy
GRANDADMIRALTHRAWN,Grand Admiral Thrawn,Legacy
GRANDINQUISITOR,Grand Inquisitor,Legacy
GRANDMASTERYODA,Grand Master Yoda,Legacy
GRANDMOFFTARKIN,Grand Moff Tarkin,Legacy
GREATMOTHERS,Great Mothers,Legacy
GREEDO,Greedo,Legacy
GREEFKARGA,Greef Karga,Legacy
BOOMADIER,Gungan Boomadier,Legacy
GUNGANPHALANX,Gungan Phalanx,Legacy
HANSOLO,Han Solo,Legacy
MILLENNIUMFALCON,Han's Millennium Falcon,Legacy
HERASYNDULLAS3,Hera Syndulla,Legacy
HERMITYODA,Hermit Yoda,Legacy
HK47,HK-47,Legacy
CAPITALMONCALAMARICRUISER,Home One,Legacy
HONDO,Hondo Ohnaka,Legacy
HOTHREBELSCOUT,Hoth Rebel Scout,Legacy
HOTHREBELSOLDIER,Hoth Rebel Soldier,Legacy
HOUNDSTOOTH,Hound's Tooth,Legacy
BADBATCHHUNTER,Hunter,Legacy
HYENABOMBER,Hyena Bomber,Legacy
IDENVERSIOEMPIRE,Iden Versio,Legacy
MAGNAGUARD,IG-100 MagnaGuard,Legacy
IG11,IG-11,Legacy
IG12,IG-12 & Grogu,Legacy
IG2000,IG-2000,Legacy
IG86SENTINELDROID,IG-86 Sentinel Droid,Legacy
IG88,IG-88,Legacy
IMAGUNDI,Ima-Gun Di,Legacy
IMPERIALPROBEDROID,Imperial Probe Droid,Legacy
IMPERIALSUPERCOMMANDO,Imperial Super Commando,Legacy
TIEBOMBERIMPERIAL,Imperial TIE Bomber,Legacy
TIEFIGHTERIMPERIAL,Imperial TIE Fighter,Legacy
JABBATHEHUTT,Jabba the Hutt,Legacy
JANGOFETT,Jango Fett,Legacy
JARJARBINKS,Jar Jar Binks,Legacy
JAWA,Jawa,Legacy
JAWAENGINEER,Jawa Engineer,Legacy
JAWASCAVENGER,Jawa Scavenger,Legacy
JEDIKNIGHTCONSULAR,Jedi Consular,Legacy
JEDISTARFIGHTERCONSULAR,Jedi Consular's Starfighter,Legacy
ANAKINKNIGHT,Jedi Knight Anakin,Legacy
JEDIKNIGHTCAL,Jedi Knight Cal Kestis,Legacy
JEDIKNIGHTGUARDIAN,Jedi Knight Guardian,Legacy
JEDIKNIGHTLUKE,Jedi Knight Luke Skywalker,Legacy
JEDIKNIGHTREVAN,Jedi Knight Revan,Legacy
JEDIMASTERKENOBI,Jedi Master Kenobi,Legacy
GRANDMASTERLUKE,Jedi Master Luke Skywalker,Legacy
JOLEEBINDO,Jolee Bindo,Legacy
JUHANI,Juhani,Legacy
JYNERSO,Jyn Erso,Legacy
K2SO,K-2SO,Legacy
KANANJARRUSS3,Kanan Jarrus,Legacy
KELLERANBEQ,Kelleran Beq,Legacy
KIADIMUNDI,Ki-Adi-Mundi,Legacy
KITFISTO,Kit Fisto,Legacy
KRRSANTAN,Krrsantan,Legacy
KUIIL,Kuiil,Legacy
KYLEKATARN,Kyle Katarn,Legacy
KYLOREN,Kylo Ren,Legacy
KYLORENUNMASKED,Kylo Ren (Unmasked),Legacy
COMMANDSHUTTLE,Kylo Ren's Command Shuttle,Legacy
L3_37,L3-37,Legacy
ADMINISTRATORLANDO,Lando Calrissian,Legacy
MILLENNIUMFALCONPRISTINE,Lando's Millennium Falcon,Legacy
GLLEIA,Leia Organa,Legacy
CAPITALLEVIATHAN,Leviathan,Legacy
LOBOT,Lobot,Legacy
LOGRAY,Logray,Legacy
LORDVADER,Lord Vader,Legacy
LUKESKYWALKER,Luke Skywalker (Farmboy),Legacy
LUMINARAUNDULI,Luminara Unduli,Legacy
MACEWINDU,Mace Windu,Legacy
MAGMATROOPER,Magmatrooper,Legacy
CAPITALMALEVOLENCE,Malevolence,Legacy
MARAJADE,"Mara Jade, The Emperor's Hand",Legacy
MARAUDER,Marauder,Legacy
SITHSUPREMACYCLASS,Mark VI Interceptor,Legacy
MARROK,Marrok,Legacy
MASTERQUIGON,Master Qui-Gon,Legacy
MERRIN,Merrin,Legacy
MG100STARFORTRESSSF17,MG-100 StarFortress SF-17,Legacy
MISSIONVAO,Mission Vao,Legacy
HUMANTHUG,Mob Enforcer,Legacy
MOFFGIDEONS1,Moff Gideon,Legacy
MONMOTHMA,Mon Mothma,Legacy
MORGANELSBETH,Morgan Elsbeth,Legacy
MOTHERTALZIN,Mother Talzin,Legacy
CAPITALNEGOTIATOR,Negotiator,Legacy
NIGHTTROOPER,Night Trooper,Legacy
NIGHTSISTERACOLYTE,Nightsister Acolyte,Legacy
NIGHTSISTERINITIATE,Nightsister Initiate,Legacy
NIGHTSISTERSPIRIT,Nightsister Spirit,Legacy
NIGHTSISTERZOMBIE,Nightsister Zombie,Legacy
NINTHSISTER,Ninth Sister,Legacy
NUTEGUNRAY,Nute Gunray,Legacy
OLDBENKENOBI,Obi-Wan Kenobi (Old Ben),Legacy
DAKA,Old Daka,Legacy
BADBATCHOMEGA,Omega,Legacy
OUTRIDER,Outrider,Legacy
PADAWANOBIWAN,Padawan Obi-Wan,Legacy
PADMEAMIDALA,Padmé Amidala,Legacy
PAO,Pao,Legacy
PAPLOO,Paploo,Legacy
PAZVIZSLA,Paz Vizsla,Legacy
PHANTOM2,Phantom II,Legacy
PLOKOON,Plo Koon,Legacy
BLADEOFDORIN,Plo Koon's Jedi Starfighter,Legacy
POE,Poe Dameron,Legacy
XWINGBLACKONE,Poe Dameron's X-wing,Legacy
POGGLETHELESSER,Poggle the Lesser,Legacy
PRINCESSKNEESAA,Princess Kneesaa,Legacy
PRINCESSLEIA,Princess Leia,Legacy
CAPITALPROFUNDITY,Profundity,Legacy
PUNISHINGONE,Punishing One,Legacy
QIRA,Qi'ra,Legacy
QUIGONJINN,Qui-Gon Jinn,Legacy
R2D2_LEGENDARY,R2-D2,Legacy
CAPITALRADDUS,Raddus,Legacy
RANGETROOPER,Range Trooper,Legacy
RAVENSCLAW,Raven's Claw,Legacy
HOTHLEIA,Rebel Officer Leia Organa,Legacy
YWINGREBEL,Rebel Y-wing,Legacy
EPIXFINN,Resistance Hero Finn,Legacy
EPIXPOE,Resistance Hero Poe,Legacy
RESISTANCEPILOT,Resistance Pilot,Legacy
RESISTANCETROOPER,Resistance Trooper,Legacy
XWINGRESISTANCE,Resistance X-wing,Legacy
ARC170REX,Rex's ARC-170,Legacy
GLREY,Rey,Legacy
REYJEDITRAINING,Rey (Jedi Training),Legacy
REY,Rey (Scavenger),Legacy
MILLENNIUMFALCONEP7,Rey's Millennium Falcon,Legacy
ROSETICO,Rose Tico,Legacy
ROYALGUARD,Royal Guard,Legacy
SABINEWRENS3,Sabine Wren,Legacy
SANASTARROS,Sana Starros,Legacy
SAVAGEOPRESS,Savage Opress,Legacy
SAWGERRERA,Saw Gerrera,Legacy
SCARIFREBEL,Scarif Rebel Pathfinder,Legacy
SITHINFILTRATOR,Scimitar,Legacy
SCOUTTROOPER_V3,Scout Trooper,Legacy
SECONDSISTER,Second Sister,Legacy
SEVENTHSISTER,Seventh Sister,Legacy
SHAAKTI,Shaak Ti,Legacy
SHINHATI,Shin Hati,Legacy
SHORETROOPER,Shoretrooper,Legacy
SITHASSASSIN,Sith Assassin,Legacy
SITHTROOPER,Sith Empire Trooper,Legacy
SITHPALPATINE,Sith Eternal Emperor,Legacy
SITHFIGHTER,Sith Fighter,Legacy
SITHMARAUDER,Sith Marauder,Legacy
FOSITHTROOPER,Sith Trooper,Legacy
UNDERCOVERLANDO,Skiff Guard (Lando Calrissian),Legacy
SLAVE1,Slave I,Legacy
SNOWTROOPER,Snowtrooper,Legacy
STAP,STAP,Legacy
STARKILLER,Starkiller,Legacy
STORMTROOPER,Stormtrooper,Legacy
STORMTROOPERHAN,Stormtrooper Han,Legacy
SUNFAC,Sun Fac,Legacy
GEONOSIANSTARFIGHTER1,Sun Fac's Geonosian Starfighter,Legacy
SUPREMELEADERKYLOREN,Supreme Leader Kylo Ren,Legacy
T3_M4,T3-M4,Legacy
TALIA,Talia,Legacy
TARFFUL,Tarfful,Legacy
BADBATCHTECH,Tech,Legacy
TEEBO,Teebo,Legacy
ARMORER,The Armorer,Legacy
THEMANDALORIAN,The Mandalorian,Legacy
THEMANDALORIANBESKARARMOR,The Mandalorian (Beskar Armor),Legacy
THIRDSISTER,Third Sister,Legacy
C3POCHEWBACCA,Threepio & Chewie,Legacy
TIEADVANCED,TIE Advanced x1,Legacy
TIEDAGGER,TIE Dagger,Legacy
TIEDEFENDER,TIE Defender,Legacy
FIRSTORDERTIEECHELON,TIE Echelon,Legacy
TIEFIGHTERPILOT,TIE Fighter Pilot,Legacy
TIEREAPER,TIE Reaper,Legacy
TIESILENCER,TIE Silencer,Legacy
TUSKENCHIEFTAIN,Tusken Chieftain,Legacy
TUSKENRAIDER,Tusken Raider,Legacy
TUSKENSHAMAN,Tusken Shaman,Legacy
TUSKENHUNTRESS,Tusken Warrior,Legacy
UGNAUGHT,Ugnaught,Legacy
UMBARANSTARFIGHTER,Umbaran Starfighter,Legacy
URORRURRR,URoRRuR'R'R,Legacy
YOUNGCHEWBACCA,Vandor Chewbacca,Legacy
SMUGGLERCHEWBACCA,Veteran Smuggler Chewbacca,Legacy
SMUGGLERHAN,Veteran Smuggler Han Solo,Legacy
VISASMARR,Visas Marr,Legacy
VULTUREDROID,Vulture Droid,Legacy
WAMPA,Wampa,Legacy
WATTAMBOR,Wat Tambor,Legacy
WEDGEANTILLES,Wedge Antilles,Legacy
XWINGRED2,Wedge Antilles's X-wing,Legacy
WICKET,Wicket,Legacy
BADBATCHWRECKER,Wrecker,Legacy
XANADUBLOOD,Xanadu Blood,Legacy
YOUNGHAN,Young Han Solo,Legacy
YOUNGLANDO,Young Lando Calrissian,Legacy
ZAALBAR,Zaalbar,Legacy
ZAMWESELL,Zam Wesell,Legacy
ZORIIBLISS_V2,Zorii Bliss,Legacy
DARTHJARJAR,Darth Jar Jar,Myths & Legends
JAXXON,Jaxxon,Myths & Legends
MARAJADESKYWALKER,Mara Jade Skywalker,Myths & Legends
LUKESTARKILLER,Starkiller (Luke Concept),Myths & Legends
STORMTROOPERCONCEPT,Stormtrooper (Concept),Myths & Legends
THERONIN,The Ronin,Myths & Legends
YODADSV,Yoda (Dark Side Vision),Myths & Legends
CARSONTEVA,Captain Carson Teva,New Republic
BISHOP,Colonel Ward,New Republic
GOPHERANTS,Grogu & Anzellans,New Republic
R5D4,R5-D4,New Republic
RACCOON,Rotta the Hutt,New Republic
REMNANTSNOWCOMMANDER,Snowtrooper Commander,New Republic
RANGERZEB,Zeb Orrelios (New Republic Pilot),New Republic
BRUTUS,Brutus,Piracy
ITHANO,Captain Ithano,Piracy
CAPTAINSILVO,Captain Silvo,Piracy
KIX,Kix,Piracy
GLHONDO,Pirate King Hondo Ohnaka,Piracy
QUIGGOLD,Quiggold,Piracy
VANE,Vane,Piracy
APPO,"CC-1119 ""Appo""",Revenge of the Sith
OPERATIVE,CX-2,Revenge of the Sith
DEPABILLABA,Depa Billaba,Revenge of the Sith
DISGUISEDCLONETROOPER,Disguised Clone Trooper,Revenge of the Sith
JEDIMASTERMACEWINDU,Jedi Master Mace Windu,Revenge of the Sith
SCORCH,"RC-1262 ""Scorch""",Revenge of the Sith
VANGUARDTEMPLEGUARD,Temple Guard,Revenge of the Sith
BATCHERS3,Batcher,the Cavalry
CROSSHAIRS3,Crosshair (Scarred),the Cavalry
HUNTERS3,Hunter (Mercenary),the Cavalry
OMEGAS3,Omega (Fugitive),the Cavalry
WRECKERS3,Wrecker (Mercenary),the Cavalry
