Character,Player,Target,Δ,Comment,Guild,R10,R9,R8,R7,<R7
Dengar,8,8,0,,50,0,6,22,13,9
Depa Billaba,9,9,0,TB,50,0,40,5,5,0
Director Krennic,6,5,0,,50,0,0,4,2,44
Disguised Clone Trooper,9,9,0,,50,0,48,1,1,0
Doctor Aphra,7,9,2,TB,50,0,9,8,32,1
Droideka,6,7,1,,50,0,1,4,22,23
Eeth Koth,5,5,0,,50,0,4,2,5,39
Eighth Brother,9,9,0,TB,50,0,20,8,17,5
Embo,8,7,0,TW delta,50,0,3,15,20,12
Emperor Palpatine,7,7,0,,50,0,3,10,37,0
Enfys Nest,6,7,1,,50,0,2,9,21,18
Resistance Hero Finn,7,7,0,GAC delta,50,0,3,3,20,24
Resistance Hero Poe,6,7,1,GAC delta,50,0,1,1,11,37
Ewok Elder,3,5,2,,50,0,0,6,12,32
Ewok Scout,9,5,0,,50,0,14,0,5,31
Ezra Bridger,6,6,0,,50,0,0,6,7,37
Ezra Bridger (Exile),9,9,0,,50,26,23,1,0,0
Fennec Shand,7,7,0,,50,0,0,18,32,0
Fifth Brother,9,9,0,TB,50,0,20,15,15,0
Finn,6,6,0,GAC delta,50,0,1,4,21,24
First Order Executioner,5,5,0,,50,0,1,0,4,45
First Order Officer,6,6,0,,50,0,3,5,12,30
First Order SF TIE Pilot,7,5,0,,50,0,2,2,9,37
First Order TIE Pilot,5,5,0,,50,0,1,4,5,40
First Order Stormtrooper,8,5,0,,50,0,1,6,15,28
Sith Trooper,7,8,1,GAC delta,50,1,10,15,24,0
Ahsoka Tano (Fulcrum),9,9,0,,50,0,50,0,0,0
Gamorrean Guard,6,5,0,,50,0,2,6,11,31
Gar Saxon,6,7,1,,50,0,0,2,27,21
General Hux,8,7,0,,50,0,6,13,22,9
General Kenobi,9,9,0,,50,0,50,0,0,0
General Skywalker,9,9,0,,50,0,50,0,0,0
General Syndulla,8,8,0,,50,0,14,24,10,2
Geonosian Brood Alpha,5,5,0,,50,0,0,2,14,34
Geonosian Soldier,5,5,0,,50,0,1,3,12,34
Geonosian Spy,5,5,0,,50,0,0,4,14,32
Ahsoka Tano,10,10,0,GL,50,47,3,0,0,0
Pirate King Hondo Ohnaka,9,9,0,GL,50,10,40,0,0,0
Leia Organa,9,9,0,GL,50,21,28,1,0,0
Rey,10,10,0,GL,50,45,4,0,1,0
Grand Admiral Thrawn,7,7,0,,50,0,1,6,43,0
Grand Inquisitor,9,9,0,,50,0,23,19,8,0
Jedi Master Luke Skywalker,10,9,0,GL,50,12,37,1,0,0
Grand Master Yoda,8,8,0,,50,0,7,43,0,0
Grand Moff Tarkin,9,9,0,,50,0,50,0,0,0
Great Mothers,7,8,1,GAC delta,50,0,6,17,27,0
Greedo,6,6,0,,50,0,0,5,10,35
Greef Karga,6,5,0,,50,0,0,1,15,34
General Grievous,7,8,1,,50,0,4,21,25,0
Gungan Phalanx,8,8,0,,50,0,3,39,7,1
Han Solo,8,8,0,,50,0,3,47,0,0
Hera Syndulla,6,7,1,TW delta,50,0,0,37,4,9
Hermit Yoda,7,7,0,GAC delta,50,0,4,14,17,15
HK-47,7,7,0,,50,0,1,2,47,0
Hondo Ohnaka,9,9,0,,50,0,50,0,0,0
Captain Han Solo,5,5,0,,50,0,0,1,5,44
Rebel Officer Leia Organa,6,5,0,,50,0,1,5,6,38
Hoth Rebel Scout,6,5,0,,50,0,2,0,8,40
Hoth Rebel Soldier,1,5,4,,50,0,1,1,4,44
Mob Enforcer,3,5,2,,50,0,0,0,10,40
Hunter (Mercenary),7,7,0,,50,0,1,22,23,4
Huyang,8,8,0,,50,1,17,22,10,0
Iden Versio,8,8,0,,50,0,5,39,2,4
IG-11,6,5,0,,50,0,0,1,11,38
IG-12 & Grogu,8,7,0,GAC delta,50,0,13,6,31,0
IG-86 Sentinel Droid,3,5,2,,50,0,0,0,5,45
IG-88,7,6,0,,50,0,8,7,18,17
IG-90,7,7,0,GAC delta,50,0,11,7,19,13
Ima-Gun Di,3,5,2,,50,0,2,0,4,44
Imperial Probe Droid,5,5,0,,50,0,2,0,11,37
Imperial Super Commando,6,7,1,,50,0,0,4,25,21
Inquisitor Barriss,7,7,0,GAC delta,50,0,7,4,5,34
Captain Ithano,7,7,0,,50,0,15,8,19,8
Jabba the Hutt,9,9,0,GL,50,3,45,2,0,0
Jango Fett,7,7,0,TW delta,50,0,3,6,41,0
Jar Jar Binks,8,8,0,,50,0,9,34,6,1
Jawa,6,5,0,,50,0,0,0,4,46
Jawa Engineer,6,5,0,,50,0,0,0,5,45
Jawa Scavenger,6,5,0,,50,0,0,0,6,44
Jedi Knight Cal Kestis,8,8,0,,50,0,15,28,7,0
Jedi Consular,7,5,0,,50,0,1,6,18,25
Jedi Knight Guardian,3,5,2,,50,0,0,0,6,44
Jedi Knight Luke Skywalker,8,8,0,,50,0,14,30,6,0
Jedi Knight Revan,8,8,0,GAC delta,50,0,11,19,17,3
Jedi Master Kenobi,8,8,0,GL,50,2,36,12,0,0
Jedi Master Mace Windu,9,9,0,TB,50,0,42,5,3,0
Jocasta Nu,9,9,0,TB,50,0,35,12,3,0
Jolee Bindo,7,5,0,,50,0,3,7,18,22
Juhani,6,8,2,TW delta,50,0,1,5,24,20
Jyn Erso,7,7,0,,50,0,8,4,14,24
K-2SO,7,5,0,,50,0,7,0,12,31
Kanan Jarrus,6,7,1,TW delta,50,0,0,17,6,27
Kelleran Beq,9,8,0,,50,0,28,20,2,0
Ki-Adi-Mundi,8,8,0,,50,0,1,23,22,4
Kit Fisto,7,7,0,,50,0,0,15,22,13
Kix,7,7,0,,50,0,13,9,20,8
Kleya Marki,0,5,0,,50,0,0,0,0,50
Krrsantan,9,9,0,GAC delta,50,0,41,9,0,0
Kuiil,5,5,0,,50,0,0,1,6,43
KX Security Droid,0,5,0,,50,0,0,0,0,50
Kyle Katarn,8,7,0,TB,50,0,0,11,25,14
Kylo Ren,7,7,0,,50,0,3,2,45,0
Kylo Ren (Unmasked),9,8,0,,50,0,15,21,14,0
L3-37,6,6,0,,50,0,1,10,14,25
Lobot,3,5,2,,50,0,3,0,4,43
Logray,3,5,2,,50,0,1,10,10,29
Lord Vader,10,9,0,GL,50,27,22,1,0,0
Luke Skywalker (Farmboy),3,5,2,,50,0,0,0,5,45
Luminara Unduli,7,7,0,,50,0,0,16,24,10
Luthen Rael,7,7,0,TB,50,0,1,8,38,3
Mace Windu,9,8,0,GAC delta,50,0,8,16,22,4
Magmatrooper,6,5,0,,50,0,2,0,9,39
IG-100 MagnaGuard,6,5,0,,50,0,3,11,9,27
Major Partagaz,0,5,0,,50,0,0,0,0,50
Bo-Katan (Mand'alor),8,8,0,,50,1,12,26,11,0
"Mara Jade, The Emperor's Hand",7,7,0,GAC delta,50,0,0,10,33,7
Marrok,8,8,0,,50,0,11,23,16,0
Master Qui-Gon,9,9,0,,50,0,48,2,0,0
Darth Maul,7,7,0,,50,0,1,21,28,0
Maul (Hate-Fueled),5,9,4,GAC delta,50,11,2,0,0,37
Maul,8,8,0,GAC delta,50,0,17,23,9,1
Maz Kanata,7,7,0,,50,0,15,12,21,2
Merrin,7,7,0,TB,50,0,4,6,39,1
Mission Vao,7,5,0,,50,0,1,3,14,32
Moff Gideon,8,8,0,TB,50,0,1,41,5,3
Dark Trooper Moff Gideon,8,8,0,TB,50,0,18,29,2,1
Mon Mothma,6,5,0,,50,0,3,3,17,27
Morgan Elsbeth,9,8,0,GAC delta,50,0,13,10,27,0
Mother Talzin,6,5,0,,50,0,0,3,15,32
Nightsister Acolyte,5,5,0,,50,0,0,3,8,39
Nightsister Initiate,3,5,2,,50,0,2,3,3,42
Nightsister Spirit,8,8,0,GAC delta,50,0,5,20,16,9
Nightsister Zombie,7,5,0,,50,0,1,2,12,35
Night Trooper,9,9,0,TB,50,0,37,4,9,0
Ninth Sister,8,8,0,,50,0,2,17,30,1
Nute Gunray,9,7,0,TW delta,50,0,1,13,36,0
Obi-Wan Kenobi (Old Ben),7,5,0,,50,0,2,3,12,33
Omega (Fugitive),7,7,0,,50,0,2,22,23,3
CX-2,9,9,0,,50,0,48,1,1,0
Padawan Obi-Wan,9,9,0,,50,0,48,2,0,0
Padawan Sabine Wren,8,8,0,,50,0,21,22,7,0
Padmé Amidala,8,8,0,,50,0,8,42,0,0
Pao,6,5,0,,50,0,1,5,9,35
Paploo,3,5,2,,50,0,0,6,12,32
Paz Vizsla,8,8,0,GAC delta,50,0,14,10,26,0
Captain Phasma,7,7,0,,50,0,0,1,31,18
Plo Koon,8,8,0,,50,0,7,43,0,0
Poe Dameron,7,5,0,,50,0,0,4,10,36
Poggle the Lesser,3,5,2,,50,0,0,4,15,31
Princess Kneesaa,7,7,0,,50,0,0,15,35,0
Princess Leia,7,7,0,GAC delta,50,0,0,4,16,30
Qi'ra,6,5,0,TB,50,0,0,10,11,29
Queen Amidala,9,9,0,,50,1,47,2,0,0
Quiggold,7,9,2,GAC delta,50,0,21,7,19,3
Qui-Gon Jinn,5,7,2,,50,0,0,13,20,17
R2-D2,9,9,0,,50,0,41,9,0,0
Range Trooper,6,5,0,,50,0,0,21,5,24
Resistance Pilot,3,5,2,,50,0,1,1,5,43
Resistance Trooper,7,5,0,,50,0,2,2,9,37
Rey (Scavenger),8,8,0,,50,0,1,49,0,0
Rey (Jedi Training),7,7,0,,50,0,0,4,46,0
Rose Tico,7,7,0,GAC delta,50,0,2,1,13,34
Royal Guard,6,7,1,,50,0,5,12,23,10
Sabine Wren,6,7,1,TW delta,50,0,0,18,6,26
Sana Starros,5,5,0,,50,0,4,5,10,31
Satele Shan,9,5,0,,46,9,25,7,3,2
Savage Opress,7,7,0,GAC delta,50,0,0,12,29,9
Saw Gerrera,7,7,0,TB,50,0,0,8,39,3
Scarif Rebel Pathfinder,8,5,0,,50,0,5,5,4,36
"RC-1262 ""Scorch""",9,9,0,,50,0,50,0,0,0
Scout Trooper,8,8,0,TB,50,0,1,43,6,0
Second Sister,7,7,0,,50,0,0,9,23,18
Seventh Sister,9,9,0,TB,50,0,20,16,14,0
Shaak Ti,9,8,0,,50,0,12,19,19,0
Shin Hati,8,8,0,,50,0,6,23,21,0
Shoretrooper,6,5,0,,50,0,0,17,6,27
Sith Assassin,8,9,1,,50,0,30,13,1,6
Sith Marauder,8,8,0,,50,1,8,19,22,0
Sith Eternal Emperor,9,9,0,GL,50,2,33,14,1,0
Sith Empire Trooper,7,7,0,,50,1,5,6,38,0
SM-33,9,9,0,GAC delta,50,0,42,6,1,1
Veteran Smuggler Chewbacca,7,7,0,TB,50,0,2,1,47,0
Veteran Smuggler Han Solo,3,5,2,,50,0,0,0,6,44
Snowtrooper,3,5,2,,50,0,1,4,4,41
STAP,7,7,0,,50,0,0,17,14,19
Starkiller,9,9,0,GAC delta,50,2,31,14,3,0
Stormtrooper,6,5,0,,50,0,1,10,8,31
Stormtrooper Han,6,7,1,GAC delta,50,0,0,5,15,30
Stormtrooper Luke,6,7,1,GAC delta,50,0,8,8,12,22
The Stranger,9,9,0,GAC delta,50,6,31,11,2,0
Sun Fac,5,5,0,,50,0,0,3,13,34
Supreme Leader Kylo Ren,9,9,0,GL,50,9,38,3,0,0
T3-M4,6,5,0,,50,0,1,1,7,41
Talia,5,5,0,,50,0,3,0,7,40
Tarfful,7,7,0,TB,50,0,0,4,34,12
Taron Malicos,9,9,0,GAC delta,50,1,18,24,7,0
Teebo,3,5,2,,50,0,0,0,15,35
The Mandalorian,6,5,0,,50,0,0,4,9,37
The Mandalorian (Beskar Armor),8,8,0,,50,0,14,24,12,0
Third Sister,9,9,0,,50,1,30,15,4,0
TIE Fighter Pilot,7,5,0,,50,0,0,5,13,32
Admiral Trench,6,8,2,TW delta,50,0,1,9,32,8
0-0-0,7,9,2,TB,50,0,8,3,32,7
Tusken Chieftain,6,5,0,,50,0,0,6,14,30
Tusken Warrior,7,7,0,,50,0,0,8,18,24
Tusken Raider,6,5,0,,50,0,0,5,16,29
Tusken Shaman,5,5,0,,50,0,2,3,14,31
Ugnaught,5,5,0,,50,13,0,0,1,36
Skiff Guard (Lando Calrissian),8,8,0,,50,0,8,22,10,10
URoRRuR'R'R,5,5,0,,50,0,0,4,14,32
Darth Vader,8,8,0,,50,0,3,23,24,0
Darth Vader (Duel's End),8,9,1,GAC delta,50,0,12,8,4,26
Vane,9,9,0,GAC delta,50,11,38,1,0,0
Temple Guard,9,9,0,TB,50,0,41,3,5,1
General Veers,6,5,0,,50,0,0,12,10,28
Vel Sartha,0,5,0,,50,0,0,0,0,50
Visas Marr,7,7,0,GAC delta,50,0,2,10,21,17
Wampa,7,7,0,,50,0,3,19,22,6
Wat Tambor,7,7,0,TW delta,50,0,3,6,41,0
Wedge Antilles,5,5,0,,50,0,0,3,7,40
Wicket,3,5,2,,50,0,1,9,9,31
Wrecker (Mercenary),7,7,0,,50,0,6,20,19,5
Yoda & Chewie,7,7,0,TB,50,0,7,4,9,30
Vandor Chewbacca,7,7,0,TB,50,0,2,4,17,27
Young Han Solo,5,5,0,TB,50,0,2,0,6,42
Young Lando Calrissian,6,6,0,,50,0,2,2,5,41
Zaalbar,7,7,0,TB,50,0,4,8,23,15
Zam Wesell,7,7,0,,50,0,0,3,47,0
"Garazeb ""Zeb"" Orrelios",3,5,2,,50,0,0,4,2,44
Zorii Bliss,7,7,0,GAC delta,50,0,1,0,25,24
Zuckuss,7,7,0,,50,0,12,6,19,13
