BaseID,Name,key_character,character_tier,relic_rec,notes,alignment,role,categories,ship
GENERALSKYWALKER,General Skywalker,yes,,9,,Light Side,Attacker,Leader|501st|Galactic Republic|Jedi,
GENERALSYNDULLA,General Syndulla,yes,,8,,Light Side,Support,Leader|Spectre,
VEERS,General Veers,no,,5,,Dark Side,Support,Leader|Empire|Imperial Trooper,
GEONOSIANBROODALPHA,Geonosian Brood Alpha,no,,5,,Dark Side,Support,Leader|Geonosian|Separatist,
GEONOSIANSOLDIER,Geonosian Soldier,no,,5,,Dark Side,Attacker,Geonosian|Separatist,GEONOSIANSTARFIGHTER2
GEONOSIANSPY,Geonosian Spy,no,,5,,Dark Side,Attacker,Geonosian|Separatist,GEONOSIANSTARFIGHTER3
GRANDADMIRALTHRAWN,Grand Admiral Thrawn,yes,,7,,Dark Side,Support,Leader|Empire|Fleet Commander,CAPITALCHIMAERA
GRANDINQUISITOR,Grand Inquisitor,yes,,9,,Dark Side,Attacker,Leader|Empire|Inquisitorius|Unaligned Force User,SCYTHE
GRANDMASTERYODA,Grand Master Yoda,yes,,8,,Light Side,Support,Leader|Galactic Republic|Jedi,
GRANDMOFFTARKIN,Grand Moff Tarkin,yes,,9,,Dark Side,Support,Leader|Empire|Fleet Commander|Order 66 Raid,CAPITALSTARDESTROYER
GREATMOTHERS,Great Mothers,yes,,8,GAC delta,Dark Side,Support,Leader|Nightsister,
GREEDO,Greedo,no,,6,,Dark Side,Attacker,Leader|Bounty Hunter|Hutt Cartel|Scoundrel,
GREEFKARGA,Greef Karga,no,,5,,Light Side,Support,Leader|Bounty Hunter|Scoundrel,
BOOMADIER,Gungan Boomadier,yes,,8,,Light Side,Attacker,Gungan,
GUNGANPHALANX,Gungan Phalanx,yes,,8,,Light Side,Tank,Gungan,
HK47,HK-47,no,,7,,Dark Side,Attacker,Leader|Droid|Sith Empire,
HANSOLO,Han Solo,yes,,8,,Light Side,Attacker,Mercenary|Rebel|Scoundrel|Smuggler,MILLENNIUMFALCON
HERASYNDULLAS3,Hera Syndulla,no,,7,TW delta,Light Side,Support,Leader|Phoenix|Rebel,GHOST
HERMITYODA,Hermit Yoda,yes,,7,GAC delta,Light Side,Support,Jedi,
HONDO,Hondo Ohnaka,yes,,9,,Neutral,Support,Mercenary|Pirate|Scoundrel|Smuggler|Order 66 Raid,
HOTHREBELSCOUT,Hoth Rebel Scout,no,,5,,Light Side,Attacker,Rebel|Rebel Fighter,
HOTHREBELSOLDIER,Hoth Rebel Soldier,no,,5,,Light Side,Support,Rebel|Rebel Fighter,
BADBATCHHUNTER,Hunter,no,,5,,Light Side,Attacker,Leader|Bad Batch|Clone Trooper|Galactic Republic,MARAUDER
HUNTERS3,Hunter (Mercenary),yes,,7,,Light Side,Support,Bad Batch|Mercenary|Order 66 Raid,
HUYANG,Huyang,yes,,8,,Light Side,Attacker,Droid|Spectre,
MAGNAGUARD,IG-100 MagnaGuard,no,,5,,Dark Side,Tank,Droid|Separatist,
IG11,IG-11,no,,5,,Light Side,Healer,Droid|Scoundrel,
IG12,IG-12 & Grogu,yes,,7,GAC delta,Light Side,Healer,Mandalorian,
IG86SENTINELDROID,IG-86 Sentinel Droid,no,,5,,Dark Side,Attacker,Droid,
IG88,IG-88,no,,6,,Dark Side,Attacker,Leader|Bounty Hunter|Droid|Scoundrel,IG2000
IG90,IG-90,yes,,7,GAC delta,Dark Side,Support,Leader|Bounty Hunter|Droid|Scoundrel,
IDENVERSIOEMPIRE,Iden Versio,yes,,8,,Dark Side,Attacker,Leader|Empire|Imperial Trooper,TIEDEFENDER
IMAGUNDI,Ima-Gun Di,no,,5,,Light Side,Support,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
IMPERIALPROBEDROID,Imperial Probe Droid,no,,5,,Dark Side,Support,Droid|Empire|ISB,
IMPERIALSUPERCOMMANDO,Imperial Super Commando,yes,,7,,Dark Side,Attacker,Empire|Mandalorian,GAUNTLETSTARFIGHTER
INQUISITORBARRISS,Inquisitor Barriss,yes,,7,GAC delta,Dark Side,Healer,Leader|Empire|Inquisitorius|Unaligned Force User,
JABBATHEHUTT,Jabba the Hutt,yes,,9,GL,Dark Side,Support,Leader|Galactic Legend|Bounty Hunter|Hutt Cartel|Smuggler,
JANGOFETT,Jango Fett,yes,,7,TW delta,Dark Side,Attacker,Leader|Bounty Hunter|Mandalorian|Mercenary|Scoundrel|Separatist,
JARJARBINKS,Jar Jar Binks,yes,,8,,Light Side,Support,Gungan,
JAWA,Jawa,no,,5,,Light Side,Attacker,Jawa,
JAWAENGINEER,Jawa Engineer,no,,5,,Light Side,Healer,Jawa,
JAWASCAVENGER,Jawa Scavenger,no,,5,,Light Side,Support,Jawa,
JEDIKNIGHTCONSULAR,Jedi Consular,no,,5,,Light Side,Healer,Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,JEDISTARFIGHTERCONSULAR
ANAKINKNIGHT,Jedi Knight Anakin,yes,,8,GAC delta,Light Side,Attacker,Leader|Galactic Republic|Jedi,JEDISTARFIGHTERANAKIN
JEDIKNIGHTCAL,Jedi Knight Cal Kestis,yes,,8,,Light Side,Attacker,Leader|Jedi|Mercenary,
JEDIKNIGHTGUARDIAN,Jedi Knight Guardian,no,,5,,Light Side,Tank,Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
JEDIKNIGHTLUKE,Jedi Knight Luke Skywalker,yes,,8,,Light Side,Attacker,Leader|Jedi,
JEDIKNIGHTREVAN,Jedi Knight Revan,yes,,8,GAC delta,Light Side,Attacker,Leader|Jedi|Old Republic,
JEDIMASTERKENOBI,Jedi Master Kenobi,yes,,8,GL,Light Side,Attacker,Leader|Galactic Legend|Galactic Republic|Jedi,
GRANDMASTERLUKE,Jedi Master Luke Skywalker,yes,,9,GL,Light Side,Tank,Galactic Legend|Leader|Jedi,
JEDIMASTERMACEWINDU,Jedi Master Mace Windu,yes,,9,TB,Light Side,Attacker,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
JOCASTANU,Jocasta Nu,yes,,9,TB,Light Side,Attacker,Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
JOLEEBINDO,Jolee Bindo,yes,,7,GAC delta,Light Side,Healer,Jedi|Old Republic,
JUHANI,Juhani,yes,,8,TW delta,Light Side,Tank,Jedi|Old Republic,
JYNERSO,Jyn Erso,yes,,7,,Light Side,Attacker,Leader|Rebel|Rebel Fighter|Rogue One,UWINGROGUEONE
K2SO,K-2SO,no,,5,,Light Side,Tank,Droid|Rebel|Rebel Fighter|Rogue One,UWINGROGUEONE
KXSECURITYDROID,KX Security Droid,no,,5,,Dark Side,Tank,Droid|Empire|ISB,
KANANJARRUSS3,Kanan Jarrus,no,,7,TW delta,Light Side,Tank,Jedi|Phoenix|Rebel,GHOST
KELLERANBEQ,Kelleran Beq,yes,,8,,Light Side,Attacker,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
KIADIMUNDI,Ki-Adi-Mundi,yes,,8,TW delta,Light Side,Attacker,Galactic Republic|Jedi,
KITFISTO,Kit Fisto,no,,7,,Light Side,Attacker,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
KIX,Kix,yes,,7,,Light Side,Healer,Clone Trooper|Pirate|Scoundrel|Order 66 Raid,
KLEYA,Kleya Marki,no,,5,,Light Side,Attacker,Rebel|Rebel Fighter,
KRRSANTAN,Krrsantan,yes,,9,GAC delta,Dark Side,Tank,Leader|Bounty Hunter|Hutt Cartel|Mercenary|Scoundrel|Wookiee,
KUIIL,Kuiil,no,,5,,Light Side,Support,Scoundrel,
KYLEKATARN,Kyle Katarn,yes,,7,TB,Light Side,Attacker,Jedi|Mercenary|Rebel|Rebel Fighter,RAVENSCLAW
KYLOREN,Kylo Ren,no,,7,,Dark Side,Attacker,First Order|Unaligned Force User,COMMANDSHUTTLE
KYLORENUNMASKED,Kylo Ren (Unmasked),yes,,8,,Dark Side,Tank,Leader|First Order|Unaligned Force User,TIESILENCER
L3_37,L3-37,yes,,7,TW delta,Light Side,Tank,Droid|Mercenary|Scoundrel|Smuggler,MILLENNIUMFALCONPRISTINE
ADMINISTRATORLANDO,Lando Calrissian,no,,5,,Light Side,Attacker,Leader|Rebel|Rebel Fighter|Scoundrel,
GLLEIA,Leia Organa,yes,,9,GL,Light Side,Tank,Galactic Legend|Leader|Rebel,
LOBOT,Lobot,no,,5,,Light Side,Support,Leader|Constable|Rebel,
LOGRAY,Logray,no,,5,,Light Side,Support,Ewok,
LORDVADER,Lord Vader,yes,,10,GL,Dark Side,Attacker,Leader|Galactic Legend|Empire|Sith,
LUKESKYWALKER,Luke Skywalker (Farmboy),no,,5,,Light Side,Attacker,Leader|Rebel,
LUMINARAUNDULI,Luminara Unduli,no,,7,,Light Side,Healer,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
LUTHENRAEL,Luthen Rael,yes,,7,TB,Light Side,Support,Rebel|Rebel Fighter,
MACEWINDU,Mace Windu,yes,,8,GAC delta,Light Side,Tank,Leader|Galactic Republic|Jedi|Fleet Commander,CAPITALJEDICRUISER
MAGMATROOPER,Magmatrooper,no,,5,,Dark Side,Attacker,Empire|Imperial Trooper,
MAJORPARTAGAZ,Major Partagaz,no,,5,,Dark Side,Support,Leader|Empire|ISB,
MARAJADE,"Mara Jade, The Emperor's Hand",yes,,7,GAC delta,Dark Side,Attacker,Empire|Unaligned Force User,
MARROK,Marrok,yes,,8,,Dark Side,Support,Inquisitorius|Mercenary|Unaligned Force User,
MASTERQUIGON,Master Qui-Gon,yes,,9,,Light Side,Support,Galactic Republic|Jedi,
MAULS7,Maul,yes,,8,GAC delta,Dark Side,Attacker,Leader|Mandalorian|Unaligned Force User,
MAULHATEFUELED,Maul (Hate-Fueled),yes,,8,GAC delta,Dark Side,Attacker,Unaligned Force User,
MAZKANATA,Maz Kanata,yes,,8,GAC delta,Light Side,Support,Leader|Pirate|Scoundrel|Smuggler|Unaligned Force User|Order 66 Raid,
MERRIN,Merrin,yes,,7,TB,Dark Side,Support,Nightsister,
MISSIONVAO,Mission Vao,yes,,7,TW delta,Light Side,Attacker,Mercenary|Old Republic|Scoundrel,
HUMANTHUG,Mob Enforcer,no,,5,,Dark Side,Support,Hutt Cartel|Scoundrel,
MOFFGIDEONS1,Moff Gideon,yes,,8,TB,Dark Side,Support,Leader|Empire|Imperial Remnant|Imperial Trooper,
MONMOTHMA,Mon Mothma,no,,5,,Light Side,Support,Leader|Rebel,
MORGANELSBETH,Morgan Elsbeth,yes,,8,GAC delta,Dark Side,Tank,Nightsister,
MOTHERTALZIN,Mother Talzin,no,,5,,Dark Side,Support,Leader|Nightsister,
NIGHTTROOPER,Night Trooper,yes,,9,TB,Dark Side,Attacker,Imperial Remnant|Nightsister,
NIGHTSISTERACOLYTE,Nightsister Acolyte,no,,5,,Dark Side,Attacker,Nightsister,
NIGHTSISTERINITIATE,Nightsister Initiate,no,,5,,Dark Side,Attacker,Nightsister,
NIGHTSISTERSPIRIT,Nightsister Spirit,yes,,8,GAC delta,Dark Side,Attacker,Nightsister,
NIGHTSISTERZOMBIE,Nightsister Zombie,no,,5,,Dark Side,Tank,Nightsister,
NINTHSISTER,Ninth Sister,yes,,8,GAC delta,Dark Side,Tank,Leader|Empire|Inquisitorius|Unaligned Force User,
NUTEGUNRAY,Nute Gunray,yes,,7,TW delta,Dark Side,Support,Leader|Scoundrel|Separatist,
OLDBENKENOBI,Obi-Wan Kenobi (Old Ben),no,,5,,Light Side,Tank,Leader|Jedi|Rebel,
DAKA,Old Daka,no,,7,,Dark Side,Healer,Leader|Nightsister,
BADBATCHOMEGA,Omega,no,,5,,Light Side,Attacker,Bad Batch|Clone Trooper,
OMEGAS3,Omega (Fugitive),yes,,7,,Light Side,Support,Leader|Bad Batch|Order 66 Raid,
PADAWANOBIWAN,Padawan Obi-Wan,yes,,9,,Light Side,Attacker,Galactic Republic|Jedi,
PADAWANSABINE,Padawan Sabine Wren,yes,,8,,Light Side,Attacker,Mandalorian|Spectre|Unaligned Force User,
PADMEAMIDALA,Padmé Amidala,yes,,8,,Light Side,Support,Leader|Galactic Republic,
PAO,Pao,no,,5,,Light Side,Attacker,Rebel|Rebel Fighter|Rogue One,ROGUEONESHIP
PAPLOO,Paploo,no,,5,,Light Side,Tank,Ewok,
PAZVIZSLA,Paz Vizsla,yes,,8,GAC delta,Light Side,Tank,Mandalorian,
GLHONDO,Pirate King Hondo Ohnaka,yes,,9,GL,Dark Side,Support,Galactic Legend|Leader|Pirate|Scoundrel|Smuggler|Order 66 Raid,
PLOKOON,Plo Koon,yes,,8,,Light Side,Tank,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,BLADEOFDORIN
POE,Poe Dameron,no,,5,,Light Side,Tank,Leader|Resistance,XWINGBLACKONE
POGGLETHELESSER,Poggle the Lesser,no,,5,,Dark Side,Support,Leader|Geonosian|Separatist,
PRINCESSKNEESAA,Princess Kneesaa,no,,7,,Light Side,Attacker,Ewok,
PRINCESSLEIA,Princess Leia,yes,,7,GAC delta,Light Side,Attacker,Leader|Rebel,
QIRA,Qi'ra,yes,,5,TB,Light Side,Support,Leader|Mercenary|Scoundrel|Smuggler,
QUEENAMIDALA,Queen Amidala,yes,,9,,Light Side,Support,Leader|Galactic Republic,
